ent,ent,t,Inciden,Incidenh,Incidenm,ginesp_i,giniesp_p,dessalud_i,dessalud_p,casadh,casadm,escolh,escolm,ocup,ocuph,ocupm,persconSS,perssinSS,ValAgr,Predialpc,gtosal,gstosalpc,hosp,enferm,medic,Salpib,Densidadpoblac,Abarrotes,Verdulerias,Dulcerias,Gimnasios,GiniT_i,GiniT_p
04,Campeche,2020,2.418367591,2.300051732,2.509350399,0.00844137,0.173647497,0.000287061,-0.000448376,5.077306118,4.685284818,1.006611325,1.059992275,5.618010421,5.409720149,5.198904399,5.680077036,5.717588961,5.694961243,2.154322524,6.746327827,3.734192641,1.491361694,3.472317546,3.278753601,0.190331698,1.294301588,3.678336247,3.059563418,2.041392685,2.271841607,0.021958977,0.237516191
04,Campeche,2021,2.623910569,2.504375701,2.715669142,0.00814392,0.159379727,0.000959992,-0.000183546,5.046914429,4.637574779,1.000094796,1.068444246,5.629429988,5.426665758,5.20119222,5.687825821,5.724011935,5.681749969,2.224014811,6.730397889,3.709847864,1.51851394,3.471878199,3.240049772,0.155336037,1.301359361,3.675686709,3.051152522,2.012837225,2.243038049,0.019144609,0.194323125
04,Campeche,2022,2.831524248,2.704339299,2.927832133,0.00981269,0.166434014,7.45767E-05,7.45767E-05,5.062437195,4.68817947,1.01499628,1.069911921,5.626023001,5.421723999,5.20035247,5.695375717,5.730252404,5.666399048,2.274350305,6.726347115,3.738037343,1.51851394,3.496791316,3.253095586,0.173186268,1.26966998,3.675778342,3.051538391,2.012837225,2.243038049,0.015390914,0.204205787
04,Campeche,2023,2.800373355,2.692026888,2.885293356,0.00995866,0.15321097,0.000475957,0.000475957,5.006224225,4.632036967,1.021609245,1.073245353,5.634915374,5.425941588,5.216917676,5.702750108,5.736295288,5.697439923,2.268733948,6.727237659,3.73433089,1.491361694,3.496652939,3.279666944,0.181843588,1.271890327,3.675595056,3.0523091,2.025305865,2.240549248,0.014293514,0.195575689
07,Chiapas,2014,2.317415586,2.154667378,2.431540663,0.01343967,0.08140694,-0.002674687,-0.014176953,5.829203391,5.113154224,0.892477582,1.00207431,6.260487348,6.120012605,5.701955483,6.053426892,6.608062075,5.559450552,1.503505098,7.860876037,3.497430485,2.136720567,4.015192042,3.753736222,0.752048448,1.844412127,4.498200243,3.690727544,2.908485019,2.604226053,0.009972516,0.076460437
07,Chiapas,2015,2.350306179,2.182756931,2.466749025,0.01217451,0.081270551,-0.001961059,-0.018247762,5.807574938,5.131551302,0.888790015,1.001619804,6.257619065,6.10722388,5.724038992,6.059764427,6.613342466,5.544711965,1.545067632,7.800599618,3.500606956,2.1430148,4.027308827,3.770925615,0.767155866,1.849923243,4.498200243,3.690727544,2.908485019,2.604226053,0.011700428,0.076064894
07,Chiapas,2016,2.372617466,2.21170775,2.485607871,0.01150931,0.082097436,-0.001644852,-0.020240018,5.817532978,5.155645704,0.901499569,1.003384524,6.275732312,6.120666045,5.753236711,6.065879846,6.618482801,5.55137875,1.511559992,7.753225174,3.486381237,2.1430148,4.089587219,3.802705327,0.749736316,1.855276783,4.512857759,3.696181587,2.903089987,2.63748973,0.007414589,0.073905841
07,Chiapas,2017,2.380410248,2.235553696,2.484854812,0.01155466,0.078326935,-0.002666052,-0.023533129,5.826519888,5.122628672,0.88973522,1.013203396,6.280012372,6.128671587,5.748708868,6.071784096,6.623492117,5.539265666,1.528999568,7.710695058,3.483091996,2.152288344,4.117039168,3.826398782,0.772321707,1.860482107,4.512791089,3.696181587,2.903089987,2.629409599,0.012322282,0.073465637
07,Chiapas,2018,2.367393198,2.205961823,2.480610509,0.01155162,0.076024667,-0.001439513,-0.02395158,5.825270289,5.108368803,0.918884343,1.032157108,6.27474998,6.129660895,5.728073633,6.077502352,6.62837493,5.531758716,1.521264691,7.621674448,3.453995008,2.176091259,4.109578547,3.807399713,0.766412847,1.865548184,4.512684396,3.696268997,2.903089987,2.629409599,0.013320682,0.075502427
07,Chiapas,2019,2.254233783,2.090681204,2.368435654,0.01169363,0.078221588,-0.005822464,-0.027847523,5.850552506,5.13648275,0.90944313,1.043759289,6.274809034,6.132932389,5.71992679,6.093213945,6.644253901,5.525397258,1.586550962,7.547022812,3.465438664,2.184691431,4.115976429,3.775901579,0.797267541,1.881390417,4.544154895,3.707910666,2.930949031,2.826074803,0.006667997,0.074908241
07,Chiapas,2020,2.060433407,1.899601659,2.173215415,0.01365759,0.079279935,-0.003173551,-0.025720673,5.852978658,5.213626649,0.925282484,1.017117935,6.310609631,6.14806933,5.805047977,6.100346417,6.650349979,5.51224148,1.57775115,7.475517372,3.542951585,2.217483944,4.118529258,3.811105607,0.890979597,1.887714153,4.54646863,3.712060142,2.933993164,2.77815125,0.024723909,0.072927729
07,Chiapas,2021,2.203196125,2.059752694,2.306746608,0.02023715,0.082834784,-0.008357581,-0.023876111,5.832537279,5.120251381,0.941561935,1.043975713,6.314630781,6.158334141,5.794988974,6.107330063,6.656291914,5.532269258,1.591603132,7.306585119,3.536690576,2.243038049,4.131907243,3.817300878,0.867467488,1.893885342,4.547491645,3.713322505,2.936513742,2.783188691,0.021171213,0.074774178
07,Chiapas,2022,2.400468911,2.230576636,2.517644481,0.01430014,0.078871502,-0.001507861,-0.001507861,5.839810397,5.175329128,0.950382177,1.058230206,6.323092795,6.165166544,5.807189891,6.114187491,6.662076494,5.557214556,1.6761033,7.314695783,3.541018542,2.264817823,4.1750477,3.827175348,0.873320602,1.89764287,4.547688576,3.713322505,2.936513742,2.783188691,0.015547201,0.073301159
07,Chiapas,2023,2.409662661,2.232869105,2.530122825,0.01200051,0.078294191,-0.002872912,-0.002872912,5.768430523,5.159099263,0.955698422,1.039876882,6.331375867,6.155435944,5.85395178,6.120874214,6.667726052,5.56276316,1.679120056,7.303794109,3.523249474,2.269512944,4.136498608,3.831869774,0.871572936,1.90378233,4.547946913,3.714162046,2.941014244,2.786751422,0.015895361,0.075210958
08,Chihuahua,2014,2.747030953,2.5498367,2.878826155,0.01479327,0.0977685,0.018808225,0.011755931,5.640874807,5.305265362,0.994235901,1.031593616,6.142837609,5.946478302,5.703618051,6.338363449,6.174295072,5.853378176,2.392355661,7.734243866,3.616230221,2.049218023,3.964212473,3.62355939,0.489958479,1.170718271,4.147954431,2.480006943,3.148294097,2.858537198,0.008932861,0.095174209
08,Chihuahua,2015,2.575407247,2.357706211,2.71603675,0.0100462,0.091945432,0.000734387,-0.002737417,5.653574275,5.324545834,0.987965642,1.016642465,6.16616626,5.980207056,5.708132691,6.343313058,6.177713644,5.8813198,2.452312917,7.690225523,3.638677884,2.068185862,3.99100444,3.674769314,0.465382851,1.175045917,4.147954431,2.480006943,3.148294097,2.858537198,0.009964819,0.096053788
08,Chihuahua,2016,2.690718691,2.517802694,2.81068943,0.00979465,0.093880271,0.003662193,-0.001014571,5.662227858,5.361427503,1.003980598,1.028944025,6.16874638,5.972779354,5.728839757,6.348149034,6.181008769,5.8958773,2.448590962,7.63363799,3.599731479,2.08278537,4.008515008,3.668199484,0.397940009,1.179257256,4.158663981,2.509202522,3.167612673,2.91750551,0.005671086,0.093952767
08,Chihuahua,2017,2.900869418,2.722724391,3.023273042,0.01100563,0.089037656,0.012657033,0.00429236,5.666543251,5.398301191,0.999672801,1.016991328,6.184030119,5.981440303,5.755499067,6.352871438,6.1842501,5.906808089,2.369188147,7.59392378,3.592337428,2.08278537,4.016406501,3.664359875,0.383815366,1.183380498,4.158814647,2.509202522,3.168202747,2.920645001,0.009305009,0.09634148
08,Chihuahua,2018,2.93565335,2.751840859,3.062642142,0.00979031,0.093417642,0.016628913,0.006554262,5.650868731,5.370794263,1.005267577,1.039893284,6.189091489,5.972828827,5.782635275,6.357455716,6.187345558,5.908228306,2.359183969,7.531260132,3.647171705,2.086359831,4.024321442,3.710963119,0.437750563,1.187363706,4.158784518,2.509202522,3.167317335,2.920645001,0.009322408,0.097266108
08,Chihuahua,2019,2.950574161,2.772086889,3.074900513,0.00813601,0.094900752,0.019707899,0.007708485,5.633855108,5.373810945,1.013973462,1.045298642,6.201856305,5.987750703,5.792036403,6.351547405,6.181447113,5.915459146,2.399105202,7.446176832,3.626087039,2.086359831,4.018950022,3.689930104,0.403120521,1.181459374,4.117337595,2.496929648,3.145196406,2.984077034,0.004668796,0.097545849
08,Chihuahua,2020,2.667649042,2.501196242,2.785884808,0.0077616,0.093417171,0.016549291,0.006379433,5.630311912,5.378886435,1.009426248,1.045792155,6.221124351,6.001476694,5.819861644,6.356322109,6.184673832,5.886037506,2.413624994,7.382777637,3.661620111,2.08278537,4.027227254,3.698274577,0.462397998,1.185610416,4.111228898,2.509202522,3.147985321,2.942008053,0.017752126,0.09325989
08,Chihuahua,2021,2.788917484,2.601918823,2.917190309,0.00767341,0.093396379,0.016740768,0.007948416,5.571718728,5.341468159,1.016164006,1.049752109,6.20541415,5.995323619,5.789217473,6.360930268,6.187725411,5.90467781,2.471357408,7.274639167,3.62682666,2.100370545,4.042378598,3.752969865,0.414973348,1.189592788,4.110657038,2.514547753,3.138618434,2.929418926,0.016641176,0.095644795
08,Chihuahua,2022,2.878849116,2.697630313,3.004252569,0.00758711,0.090471445,0.005934792,0.0059435,5.611322808,5.368846364,1.01302469,1.040601786,6.227875654,6.017847713,5.811578357,6.365378087,6.190602837,5.936107959,2.483321119,7.291257763,3.63614775,2.103803721,4.04630002,3.73479983,0.426511261,1.196529268,4.110791661,2.514547753,3.138302698,2.929418926,0.011162152,0.094091941
08,Chihuahua,2023,2.887949083,2.710032699,3.011655011,0.0072904,0.097430011,0.008418832,0.008418832,5.552682814,5.292196241,1.027915249,1.048887639,6.241615703,6.028672901,5.829964684,6.36965457,6.193337239,5.949175532,2.520062922,7.301305624,3.636886903,2.103803721,4.048907701,3.753736222,0.442479769,1.20202701,4.111598525,2.51851394,3.139249218,2.930439595,0.01144228,0.097403147
09,Ciudad de Mexico,2014,2.517182697,2.380681473,2.612910949,0.01174521,0.1405403,0.013856497,0,5.657642806,5.518861237,1.070573806,1.054319443,6.611734457,6.352990134,6.263853043,6.697101652,6.590639904,6.508189228,3.123198075,8.306627762,3.963568611,2.763427994,4.646697731,4.396147019,0.481442629,3.778186682,4.612752078,4.111632112,3.764475027,3.27600199,0.011006793,0.42569045
09,Ciudad de Mexico,2015,2.757821004,2.620188126,2.854081244,0.01437989,0.153948451,0.025878665,0,5.640713926,5.489868519,1.066316233,1.049188629,6.612477094,6.358510857,6.258656196,6.696807838,6.588768032,6.519238666,3.199755177,8.278473852,4.021047518,2.762678564,4.659021983,4.417953053,0.522444234,3.343375243,4.612752078,4.111632112,3.764475027,3.27600199,0.013056986,0.42702191
09,Ciudad de Mexico,2016,2.857567676,2.750970984,2.936262342,0.00768531,0.158278435,0.030018805,0.000251654,5.634213187,5.460939918,1.069673794,1.070661398,6.629126604,6.380528161,6.268454639,6.696453897,6.586846004,6.527588012,3.197556213,8.245737694,4.023838822,2.764176132,4.676876432,4.417853505,0.51054501,3.77616051,4.620802087,4.117271296,3.768490105,3.31993844,0.007318122,0.490780039
09,Ciudad de Mexico,2017,2.971201604,2.878648159,3.041258428,0.00891503,0.148098354,0.026709797,0,5.597194801,5.480792851,1.076417415,1.066720749,6.632683795,6.383398459,6.272899346,6.69603811,6.58488584,6.536414135,3.237794993,8.223354251,4.006103326,2.767897616,4.667424933,4.414488672,0.489958479,3.775070138,4.62065648,4.117105503,3.76952502,3.329194415,0.012038362,0.480818124
09,Ciudad de Mexico,2018,2.913760886,2.802589025,2.995349958,0.01236256,0.156313671,0.022084468,0,5.593443359,5.399691024,1.082355314,1.061710114,6.64217199,6.379521795,6.299038758,6.695560123,6.582886264,6.541913599,3.272552269,8.189117069,3.997158006,2.769377326,4.668031627,4.413232686,0.474216264,3.773928842,4.620614869,4.117105503,3.769746467,3.328379603,0.013243993,0.41441238
09,Ciudad de Mexico,2019,2.924780503,2.80881168,3.00913207,0.01061956,0.154700698,0.023693637,0,5.555283126,5.404077318,1.079781605,1.064780333,6.648599344,6.399871445,6.288094892,6.709154162,6.592463009,6.540176274,3.329194415,8.148626857,3.971656567,2.778874472,4.656194062,4.407764696,0.463892989,3.785777911,4.60962642,4.09895506,3.812712867,3.372359583,0.006595229,0.416466689
09,Ciudad de Mexico,2020,2.622359109,2.538561167,2.686984637,0.00839647,0.132079575,0.012160201,-0.000191288,5.629927182,5.520698334,1.089202363,1.075913731,6.647343354,6.391962251,6.295296544,6.709336881,6.590825791,6.49307492,3.278753601,8.120523428,4.052045229,2.790285164,4.659688064,4.407781679,0.584331224,3.785173118,4.579715018,4.100439475,3.856608068,3.337658891,0.027904174,0.465841972
